rank,Longitude,Latitude,Time,Temperature,Depth,Vessel_name,Profil_id
212,4.980800151824951,58.660499572753906,19669.623726851853,7.526,203,AA,187
213,4.6427001953125,58.54280090332031,19669.744930555556,7.627,203,AA,179
214,4.517000198364258,58.891998291015625,19669.888703703702,7.439,203,AA,175
215,4.9166998863220215,58.932701110839844,19670.003194444445,7.996,203,AA,185
216,5.173799991607666,58.94049835205078,19670.097962962962,7.566,203,AA,195
217,4.348700046539307,58.383201599121094,19672.30861111111,8.058,203,AA,172
218,4.155300140380859,58.33980178833008,19672.42976851852,,203,AA,167
219,4.786499977111816,58.20830154418945,19672.63351851852,7.917,203,AA,181
220,6.409200191497803,57.98030090332031,19673.457476851854,7.934,203,AA,234
221,5.783299922943115,58.94419860839844,19682.974791666667,7.518,203,AA,219
222,6.076900005340576,58.89459991455078,19683.289097222223,,203,AA,228
223,6.274400234222412,59.00320053100586,19683.34252314815,7.3340000000000005,203,AA,232
224,6.495800018310547,59.03179931640625,19683.391180555554,7.349,203,AA,235
225,6.630199909210205,59.05139923095703,19683.43263888889,,203,AA,240
226,5.8653998374938965,58.984901428222656,19683.559675925924,7.3870000000000005,203,AA,221
227,5.869500160217285,59.067501068115234,19683.598541666666,,203,AA,222
228,6.074999809265137,59.39590072631836,19683.774791666667,7.644,203,AA,227
229,6.259300231933594,59.507999420166016,19683.833819444444,7.55,203,AA,231
230,5.941999912261963,59.309600830078125,19683.93388888889,7.522,203,AA,224
231,5.551499843597412,59.16559982299805,19684.02965277778,7.827,203,AA,214
232,6.543499946594238,60.081199645996094,19685.29045138889,,203,AA,236
233,6.547800064086914,60.12200164794922,19685.31355324074,,203,AA,237
234,6.564199924468994,60.17020034790039,19685.341608796294,7.3740000000000006,203,AA,239
235,6.633999824523926,60.32500076293945,19685.397696759257,7.385,203,AA,241
236,4.7891998291015625,60.856300354003906,19686.994618055556,8.897,203,AA,182
237,4.8993000984191895,60.84980010986328,19687.029293981483,8.332,203,AA,184
238,5.076000213623047,60.817298889160156,19687.0784375,8.120000000000001,203,AA,192
239,5.236499786376953,60.760799407958984,19687.13505787037,8.067,203,AA,197
240,5.411300182342529,60.698699951171875,19687.2084375,7.984,203,AA,207
241,5.340799808502197,60.82429885864258,19687.282349537036,8.014,203,AA,203
242,5.364500045776367,60.86669921875,19687.31769675926,8.022,203,AA,205
243,5.465799808502197,60.880699157714844,19687.35542824074,8.044,203,AA,210
244,5.307000160217285,61.08150100708008,19649.426550925924,7.765000000000001,204,AA,200
245,5.307000160217285,61.08150100708008,19649.456597222223,,204,AA,200
246,5.559700012207031,60.87070083618164,19650.209328703702,,204,AA,215
247,5.386199951171875,60.87179946899414,19650.403171296297,8.043000000000001,204,AA,206
248,5.47130012512207,60.88199996948242,19650.647696759257,8.062,204,AA,211
249,5.347499847412109,60.84880065917969,19650.99832175926,8.024000000000001,204,AA,204
250,5.316699981689453,60.80619812011719,19651.030208333334,,204,AA,201
251,5.317299842834473,60.80619812011719,19651.379756944447,,204,AA,202
252,5.168700218200684,60.685699462890625,19652.187280092592,6.413,204,AA,194
253,5.168700218200684,60.685699462890625,19652.5134375,6.413,204,AA,194
254,5.215000152587891,60.65620040893555,19652.67042824074,6.413,204,AA,196
255,5.255799770355225,60.624298095703125,19652.937997685185,,204,AA,199
256,5.091300010681152,60.71220016479492,19653.09107638889,6.4110000000000005,204,AA,193
257,5.05620002746582,60.72549819946289,19653.734733796296,,204,AA,191
258,5.055799961090088,60.725799560546875,19653.749270833334,,204,AA,190
259,5.038300037384033,60.73350143432617,19653.932997685184,,204,AA,189
260,6.869800090789795,57.63370132446289,19668.302037037036,7.837,204,AA,242
261,6.361199855804443,57.650299072265625,19668.441435185185,,204,AA,233
262,5.934700012207031,57.6682014465332,19668.548333333332,,204,AA,223
263,5.857699871063232,57.76169967651367,19668.622893518517,,204,AA,220
